route_type, route_name,route_id
2,Stawell - Patrick St,1373
2,Stawell - Ligar St,1374
2,Stawell - Stawell West,1375
2,Ballarat - Maryborough via Clunes,1379
2,Wangaratta -Yarrawonga,1396
2,Wangaratta - Glenrowan,1399
2,Wangaratta - Springhurst,1400
2,Bairnsdale - West Bairnsdale,1439
2,Bairnsdale - Omeo,1440
2,Bairnsdale - Paynesville,1441
2,Bairnsdale - East Bairnsdale,1443
2,Bairnsdale - Wy Yung,1444
2,Wonthaggi - Wonthaggi North - Wonthaggi,1446
2,Wonthaggi - South Wonthaggi - Wonthaggi,1447
2,Wonthaggi Town Service (Cape Paterson),1448
2,Coronet Bay - Wonthaggi via Corinella,1449
2,Cowes - Anderson - Wonthaggi,1450
2,Korumburra Town Service - Carinya Lodge,1452
2,Wonthaggi - Leongatha via Inverloch,1461
2,Cowes - Fountain Gate via Anderson,1464
2,Sale - Loch Sport via Longford,1469
2,Sale - Stratford,1470
2,Wangaratta - Chiltern via Rutherglen,1474
2,Wangaratta - Springhurst - Corowa,1475
2,Ballarat - Bendigo via Maryborough and Castlemaine,1493
2,Yarram - Traralgon via Gormandale,1494
2,Bairnsdale - Gelantipy,1495
2,Albury - Wodonga - Myrtleford,1506
2,Ballan - Hepburn via Daylesford,1510
2,Ballan - Mount Egerton via Gordon,1511
2,Warrnambool - Mortlake,1515
2,Hamilton West via Coleraine Road,1524
2,Horsham - Donald via Murtoa and Minyip,1532
2,Swan Hill - Sea Lake via Ultima,1533
2,Horsham - Birchip via Warracknabeal,1538
2,Horsham - Hopetoun via Dimboola,1539
2,Mildura - Horsham via Hopetoun,1545
2,Ballarat - Maryborough via Avoca,1551
2,Mildura - Merbein via Eleventh Street,1571
2,Mildura - Euston - Robinvale,1574
2,Ballarat - Stawell via Ararat,1575
2,Kilmore Town Service,1577
2,Horsham - Roberts Avenue,1579
2,Kyneton - Taradale - Castlemaine - Bendigo,1586
2,Castlemaine - Taradale via Chewton,1587
2,Wangaratta - Cheshunt via Edi,1595
2,Wonthaggi - Dudley - Wonthaggi,1596
2,Castlemaine - Harcourt,1608
2,Castlemaine Town Loop,1609
2,Kyneton - Woodend,1610
2,Castlemaine - Campbells Creek,1611
2,Daylesford - Hepburn Springs,1624
2,Belgrave - Gembrook,1632
2,Ararat West via Brewster Road & Lowe Road,1658
2,Ararat South via Burke Road & Churchill Avenue,1659
2,Ararat North via Baird Street & NMIT & Alfred Street,1660
2,Yarraville - Kingsville via Somerville Road,1664
2,Newport - Yarraville via Altona Gate Shopping Centre,1665
2,Williamstown - Moonee Ponds via Footscray,1666
2,Airport West to Gowanbrae via Melrose Dr & Gowanbrae Dr,1667
2,Glenroy to Coburg via Boundary Road & Sydney Road,1673
2,Sale-South via MacArthur Street & Aquatic Centre & Sale Hospital,1878
2,Sale-North via Guthridge Parade & MacArthur Street,1879
2,Sale - Wurruk via Princes Highway,1909
2,Sale - Sale Station via Reeve Street,1910
2,Horsham - Albert Street North,1916
2,Horsham - Sunnyside,1917
2,Horsham - Wawunna Road,1918
2,Horsham - Haven,1921
2,Ballarat - Station to Sovereign Hill (Goldrush service),1925
2,Eildon - Melbourne via Lilydale Station,1935
2,Ballarat - Rokewood via Ross Creek,1947
2,Omeo - Bright via Hotham Heights,1991
2,Ararat - Lake Bolac via Willaura,1995
2,Alexandra - Seymour via Yea,2055
2,Albury - Corryong via Walwa,2079
2,Apollo Bay - Geelong (VLINE),2089
2,Colac - Lorne,2097
2,Colac to  Colac West,2126
2,Maryborough -Princes Park-Whirrakee,2285
2,Maryborough - Pascoe,2293
2,Maryborough - Maryborough Education Centre,2294
2,Maryborough - Hedges,2295
2,Horsham - Kaniva via Dimboola,2339
2,Warneet - Cranbourne,2342
2,Albury - Corowa via Rutherglen,2349
2,Rosebud - Chisholm TAFE Rosebud Campus,2505
2,Bendigo - Boort via Wedderburn,2768
2,Kananook - Carrum Downs via Lathams Rd,2808
2,Frankston - Langwarrin via Karingal,2813
2,Seymour - Seymour North,2895
2,Seymour - Puckapunyal,2896
2,Seymour - Wimble Street AM peak,2897
2,Hawthorn to Fairfield via Kew,2913
2,Gembrook - Fountain Gate,2916
2,Shepparton - Parkside Gardens via GV Health,2919
2,Shepparton - Golf Drive-TAFE,2922
2,Shepparton - Connolly Park,2925
2,Shepparton - Archer,2928
2,Shepparton - South East,2931
2,Shepparton - Market Place,2934
2,Shepparton - Kialla,2937
2,Shepparton - Aquamoves,2943
2,Shepparton - Parkside Gardens via The Boulevard,2982
2,Coronet Bay - Grantville via Corinella,3287
2,St Arnaud - Stawell via Ararat,3321
2,Ararat Station - Hopkins Correctional Centre,3322
2,Hepburn - Creswick via Daylesford,3324
2,Wonthaggi - Traralgon via Leongatha,3346
2,Koo Wee Rup - Pakenham,3354
2,Frankston - Karingal via Ashleigh Avenue,3365
2,Wangaratta - West End,3374
2,Wangaratta - Yarrunga via Murdoch Road,3377
2,Wangaratta -Yarrawonga Road,3380
2,Warrnambool - Port Campbell - Timboon via Allansford & Nullawarre & Peterborough,3394
2,Mildura City - East Mildura - Mildura Central SC,3398
2,Mildura Central SC - West  Mildura - Mildura,3401
2,Mildura Central SC - East Mildura - Mildura,3408
2,Southland SC - St Kilda Station via Sandringham,3411
2,Frankston - Coolart Rd - Hastings-Flinders,3420
2,Eltham - Warrandyte via Research & Kangaroo Ground & Warrandyte Road,3423
2,Frankston - Mt Eliza - Mornington East-Mt Martha,3438
2,City - La Trobe University-Northland SC,3448
2,Dandenong - Chadstone via Mulgrave & Oakleigh,3453
2,Box Hill to Nunawading,3483
2,Edithvale - Aspendale Gardens via Chelsea,4543
2,Rye to St Andrews Beach,4663
2,Gembrook - Pakenham via Pakenham Upper,4664
2,Alexandra - Eildon via Thornton,4711
2,Kyneton - Kyneton Railway Station,4733
2,Kyneton - Kyneton South,4736
2,Kynton Town Centre  to Kyneton West via Kyneton Station,4745
2,Kyneton - Malmsbury,4747
2,Kurunjang - Melton Station,4748
2,Craigieburn - Broadmeadows via Upfield Station,4755
2,Melton - Melton Station via Brookfield,4757
2,Micasa Rise-Roslyn Park - Melton Station,4758
2,Melton - Melton Station via Melton West,4761
2,Arnolds Creek to Melton Station via Westlake,4769
2,Sunbury Railway Station - Mount Lion,4780
2,Sunbury Railway Station - Wilsons Lane,4786
2,Sunbury Railway Station - Rolling Meadows,4789
2,Sunbury Railway Station - Killara Heights,4792
2,Sunbury Railway Station - Jacksons Hill,4795
2,Sunbury Railway Station - Canterbury Hills,4798
2,Olinda - Monbulk via Olinda - Monbulk Road,4802
2,Croydon - Upper Ferntree Gully via Olinda and Tremont,4805
2,Hamilton - Penshurst via Tarrington,4849
2,St Arnaud - Stawell via Marnoo,4855
2,Ballarat - Snake Valley via Haddon,4861
2,Ararat - Maryborough via Elmhurst & Avoca,4864
2,Mansfield - Woods Point via Jamieson,4896
2,Horsham - Naracoorte via Natimuk & Goroke & Edenhope,5023
2,Albury - Tallangatta via Bonegilla,5038
2,Shepparton - Euroa via Kialla,5041
2,Geelong - Inverleigh via Fyansford,5048
2,Sea Lake - Woomelang,5051
2,Swan Hill - Wycheproof via Lalbert,5052
2,Bendigo - Woomelang via Wedderburn & Charlton & Wycheproof & Birchip,5055
2,Sea Lake - Nullawil via Culgoa,5062
2,Ballarat - Avoca via Clunes and Maryborough,5063
2,Ballarat - Mt Egerton via Gordon,5069
2,Quambatook - Boort,5105
2,Quambatook - Kerang,5108
2,Albury - Mt Beauty via Baranduda and Tawonga South,5125
2,Maryborough - Maryborough via Daisy Hill and Talbot,5126
2,Maryborough - Maryborough via Bealiba and Dunolly,5132
2,Maryborough - Carisbrook,5135
2,Dandenong - Doveton via McCrae Street,5331
2,Dandenong - Mossgiel Park via John Fawkner Drive,5332
2,Dandenong - Mossgiel Park via Gleneagles Drive,5333
2,Dandenong - Glen Waverley via Mulgrave & Brandon Park,5334
2,Dandenong - Endeavour Hills via Thomas Mitchell Drive,5335
2,Berwick Station - Beaconsfield East via Brisbane St & Beaconsfield Plaza SC,5368
2,Berwick Station - Berwick North via Telford Dr & Whistler Dr,5369
2,Amberly Park  - Hallam via Hampton Park,5370
2,Narre Warren South - Fountain Gate SC via Narre Warren Station,5371
2,Pakenham Station - Pakenham North via Meadowvale,5375
2,Pakenham Station - Pakenham North via Army Rd & Windermere Bvd,5377
2,Berwick Station - Eden Rise SC via Bridgewater Estate,5378
2,Berwick Station - Kingsmere Estate via Casey Hospital,5379
2,Pakenham Station - Lakeside via The Avenue,5382
2,Berwick Station - Eden Rise SC via Bryn Mawr Bvd,5385
2,Airport West SC - Melbourne Airport,5415
2,Narre Warren North - Cranbourne via Narre Warren & Cranbourne North,5460
2,Berwick Station - Narre Warren Circle via Berwick North & Narre Warren South,5480
2,Berwick Station - Narre Warren Circle via Narre Warren South & Berwick North,5481
2,Hampton - Berwick Station via Southland SC & Dandenong,5510
2,City - Bulleen - Doncaster SC via Kew Junction,5537
2,Kew (Cotham Road) - La Trobe University Bundoora,5540
2,Craigieburn  - Roxburgh Park,5589
2,Moonee Ponds - Clifton Hill via East Brunswick,5607
2,Maryborough - Maryborough Station,5634
2,Elsternwick Station - Fishermans Bend,5664
2,Laverton Station - Williamstown via Altona,5671
2,Morwell - Churchill,5675
2,Churchill - Boolarra via Yinnar,5681
2,Traralgon - Churchill,5684
2,Churchill town loop,5700
2,Morwell - Mid Valley Shopping Centre via Crinigan Rd,5701
2,Morwell - Mid Valley Shopping Centre via Hourigan Rd,5704
2,Morwell South,5722
2,Castlemaine - Chewton via Loddon Prison,5738
2,Traralgon - Traralgon South,5741
2,Dandenong - Brighton via Heatherton Road & Springvale,5746
2,Dandenong - Brighton via Parkmore Shopping Centre,5747
2,Dandenong - Brighton via Southland SC,5748
2,Wodonga - Mayfair Drive,5767
2,Epping Plaza SC - South Morang,5768
2,Bundoora RMIT - South Morang,5770
2,Mallacoota - Genoa via Gipsy Point,5809
2,Eltham - Glenroy via Greensborough or Lower Plenty,5812
2,Sale - Seaspray via Longford,5814
2,Lakes Entrance - Kalimna,5827
